mean [tax_paid] of consumers,mean [tax_collected] of consumers,mean [asked_someone_to_broker] of consumers,mean [brokered_for_someone] of consumers,mean [brokered_for_new_user] of consumers,mean [pinched] of consumers,mean [selling_price] of dealers,count dealers,count consumers
1472.86,1472.86,147.53,75.23,75.23,10.145993111366245,145.16666666666666,12,100
0.0,913.7,150.33,46.93,47.14,8.252774193548385,110.71428571428572,7,100
0.0,939.88,149.39,48.15,48.15,8.638602941176472,108.8,5,100
0.0,1059.920792079208,143.76237623762376,54.762376237623755,54.762376237623755,8.485537636733106,124.9090909090909,11,101
1206.1782178217825,1206.1782178217825,151.38613861386142,62.24752475247525,62.24752475247525,9.84635279854516,122.5,8,101
0.0,1073.81,143.92,55.04,55.04,9.46922398589065,113.4,10,100
0.0,1049.1,146.09,54.45,54.45,8.571078431372554,122.4,10,100
0.0,1056.7254901960782,141.09803921568627,54.107843137254896,54.107843137254896,8.893634577013666,118.8181818181818,11,102
1318.1089108910894,1318.1089108910894,149.05940594059402,67.69306930693071,67.69306930693071,8.985064150586837,146.7,10,101
0.0,1026.61,148.23,52.74,52.74,8.223845126835782,124.83333333333331,12,100
1400.2323232323233,1414.7878787878788,149.24242424242425,72.36363636363636,71.62626262626263,8.805733685401737,160.66666666666666,9,99
0.0,1153.6019417475727,136.8349514563107,59.242718446601934,59.33980582524272,9.161630245513487,125.91666666666669,12,103
0.0,1008.21,147.07,51.63,51.57,8.96624797406807,112.1818181818182,11,100
1221.019801980198,1221.019801980198,151.58415841584159,62.40594059405941,62.40594059405941,10.565066271769329,115.57142857142857,7,101
0.0,973.38,148.64,50.03,50.03,7.956784741144414,122.33333333333331,9,100
0.0,1107.141414141414,144.7373737373737,56.737373737373744,56.45454545454545,10.148796296296297,109.0909090909091,11,99
0.0,1049.242718446602,142.92233009708738,53.31067961165049,53.31067961165049,8.865034869410636,118.33333333333331,12,103
1148.656862745098,1148.656862745098,150.7156862745098,59.411764705882355,59.411764705882355,8.709276971108581,131.88888888888889,9,102
0.0,988.7821782178218,148.96039603960398,50.396039603960396,50.396039603960396,8.491450003779006,116.44444444444444,9,101
0.0,1091.9900990099009,140.83168316831683,56.0,55.86138613861386,8.950738516474596,122.0,12,101
0.0,954.23,150.7,48.74,48.88,8.026233644859813,118.88888888888887,9,100
1403.61,1403.61,149.72,72.32,72.32,10.517513623978203,133.45454545454547,11,100
0.0,1025.2424242424242,148.50505050505052,52.14141414141414,52.15151515151515,8.615482556659027,119.0,11,99
1117.42,1117.42,154.72,57.22,57.22,8.915585106382977,125.33333333333331,6,100
0.0,1104.530612244898,145.5408163265306,56.59183673469388,56.8469387755102,8.796034454737526,125.57142857142857,14,98
0.0,927.9393939393941,152.4848484848485,47.43434343434343,47.09090909090909,7.075790585594507,131.14285714285714,7,99
957.1188118811881,957.1188118811881,156.98019801980195,48.762376237623755,48.762376237623755,6.25567850902737,153.0,5,101
0.0,1038.81,145.31,53.18,53.18,8.716178489702516,119.1818181818182,11,100
0.0,1070.41,144.65,55.04,55.04,9.184485179407178,116.54545454545456,11,100
0.0,1062.8910891089106,143.47524752475246,54.65346534653465,54.65346534653465,8.218230070429723,129.2,15,101
1422.1818181818182,1423.0707070707074,150.87878787878788,72.9090909090909,72.85858585858584,11.364362345728798,125.22222222222223,9,99
0.0,941.41,150.01,48.48,48.48,6.940837751855782,136.85714285714286,7,100
0.0,1051.4646464646462,147.3030303030303,53.414141414141405,53.22222222222222,7.771357327898348,135.3,10,99
0.0,1048.0396039603959,143.9009900990099,54.257425742574256,54.37623762376238,9.187510856348794,114.0,12,101
1430.3557692307693,1430.3557692307693,143.1730769230769,73.68269230769229,73.68269230769229,10.552591188154569,135.54545454545453,11,104
0.0,1032.1515151515152,146.95959595959596,52.77777777777778,52.414141414141405,8.434333116662021,122.375,8,99
0.0,970.9126213592232,143.88349514563106,49.79611650485437,49.44660194174757,7.966462534229525,121.875,8,103
1367.6633663366338,1367.6633663366338,148.02970297029702,70.25742574257426,70.25742574257426,10.569268673389752,129.4,10,101
0.0,1008.1960784313727,142.5392156862745,51.79411764705882,51.647058823529406,8.38550800998582,120.23076923076924,13,102
0.0,933.990099009901,149.73267326732673,47.92079207920793,47.92079207920793,8.060718463777214,115.66666666666669,9,101
1611.99,1611.99,145.78,83.17,83.17,12.007374301675975,134.25,16,100
0.0,1336.989898989899,131.11111111111111,68.38383838383838,68.46464646464646,11.047917188413058,121.0,28,99
0.0,1307.5247524752474,127.51485148514851,66.63366336633663,66.63366336633663,10.677303184554594,122.45833333333331,24,101
1571.6868686868686,1563.1212121212118,145.98989898989902,80.04040404040404,80.49494949494951,10.780146290491118,145.0,15,99
0.0,1153.5841584158416,137.96039603960395,59.38613861386138,59.38613861386138,9.613201320132012,120.0,18,101
0.0,1197.16,137.41,61.77,61.77,9.754675476097939,122.5238095238095,21,100
0.0,1190.24,133.64,61.28,61.61,9.901497730711043,120.1818181818182,22,100
1575.1010101010102,1568.4242424242425,146.6060606060606,79.78787878787878,80.13131313131315,11.828237122354764,132.6,15,99
0.0,1217.5858585858587,135.04040404040404,62.33333333333334,62.06060606060606,9.765544618625189,124.6818181818182,22,99
1396.666666666667,1396.666666666667,147.07843137254903,71.33333333333333,71.33333333333333,10.26960784313726,136.0,10,102
0.0,1206.63,136.01,61.65,61.65,9.996916703009155,120.68421052631581,19,100
0.0,1258.17,133.03,64.47,64.47,10.519051254089423,119.6086956521739,23,100
0.0,1214.4803921568628,133.41176470588235,61.84313725490196,61.862745098039206,10.349406824604609,117.34782608695652,23,102
1456.8217821782175,1456.8217821782175,145.82178217821786,74.88118811881188,74.88118811881188,10.6448355691519,136.85714285714286,14,101
0.0,1171.7087378640774,131.64077669902912,59.990291262135926,59.990291262135926,9.647588022955203,121.3,20,103
0.0,1347.049504950495,123.66336633663366,69.11881188118812,69.11881188118812,10.852362577647495,124.125,32,101
1471.2970297029706,1470.930693069307,146.56435643564356,74.89108910891089,74.91089108910893,11.336652740418547,129.75,12,101
0.0,1204.4019607843138,134.02941176470586,61.27450980392157,61.27450980392157,10.025785413694976,120.1304347826087,23,102
0.0,1194.38,138.95,61.33,61.33,9.870909090909091,121.0,21,100
1519.3030303030305,1521.3737373737374,146.9090909090909,77.84848484848484,77.72727272727273,11.00166958844645,138.28571428571428,14,99
0.0,1189.6831683168316,133.98019801980195,61.366336633663366,61.366336633663366,10.02682822011657,118.65,20,101
0.0,1148.76,138.03,58.56,58.56,9.147845744680849,125.38095238095238,21,100
0.0,1235.84,137.55,63.44,63.44,9.619401884473577,128.4736842105263,19,100
1546.29,1546.29,146.83,79.49,79.49,11.869637124912767,130.27272727272728,11,100
0.0,1247.24,134.84,64.28,64.34,9.908344370860926,125.83333333333331,24,100
0.0,1272.87,131.66,65.47,65.47,10.14688219663419,125.44444444444444,27,100
1710.0582524271845,1710.0582524271845,139.2233009708738,86.75728155339806,86.75728155339806,13.217841564654558,129.375,16,103
0.0,1260.8673469387754,136.46938775510205,64.89795918367346,64.92857142857143,10.207484304438816,123.5238095238095,21,98
0.0,1166.3725490196075,137.61764705882354,59.72549019607843,59.72549019607843,9.639442553881056,121.0,14,102
1627.7623762376238,1635.7623762376238,141.990099009901,84.08910891089107,83.65346534653466,12.161802053811336,134.5,16,101
0.0,1266.93,127.76,65.05,65.05,10.18696177062374,124.25,28,100
0.0,1245.3663366336634,130.27722772277227,63.871287128712865,64.90099009900989,10.274593358270174,121.20833333333331,24,101
1721.881188118812,1721.881188118812,141.84158415841588,88.23762376237623,88.23762376237623,12.152668288443312,141.6875,16,101
0.0,1264.4554455445545,132.94059405940595,64.5841584158416,64.5841584158416,10.653330097975653,118.5238095238095,21,101
