"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"1","3","25","100","1","10","10","24","5","1","10","17279","1472.86","1472.86","147.53","75.23","75.23","10.145993111366245","145.16666666666666","12","100"
"2","3","25","100","1","10","10","24","5","1","10","17280","0","913.7","150.33","46.93","47.14","8.252774193548385","110.71428571428571","7","100"
"3","3","25","100","1","10","10","24","5","1","10","17280","0","939.88","149.39","48.15","48.15","8.638602941176472","108.8","5","100"
"4","3","25","100","1","10","10","24","5","1","10","17280","0","1059.920792079208","143.76237623762376","54.76237623762376","54.76237623762376","8.485537636733106","124.9090909090909","11","101"
"5","3","25","100","1","10","10","24","5","1","10","17279","1206.1782178217823","1206.1782178217823","151.3861386138614","62.24752475247525","62.24752475247525","9.84635279854516","122.5","8","101"
"6","3","25","100","1","10","10","24","5","1","10","17280","0","1073.81","143.92","55.04","55.04","9.46922398589065","113.4","10","100"
"8","3","25","100","1","10","10","24","5","1","10","17280","0","1049.1","146.09","54.45","54.45","8.571078431372552","122.4","10","100"
"7","3","25","100","1","10","10","24","5","1","10","17280","0","1056.7254901960785","141.09803921568627","54.1078431372549","54.1078431372549","8.893634577013666","118.81818181818181","11","102"
"9","3","25","100","1","10","10","24","5","1","10","17279","1318.1089108910892","1318.1089108910892","149.05940594059405","67.6930693069307","67.6930693069307","8.985064150586837","146.7","10","101"
"10","3","25","100","1","10","10","24","5","1","10","17280","0","1026.61","148.23","52.74","52.74","8.223845126835782","124.83333333333333","12","100"
"13","3","25","100","1","10","10","24","5","1","50","17279","1400.2323232323233","1414.7878787878788","149.24242424242425","72.36363636363636","71.62626262626263","8.805733685401737","160.66666666666666","9","99"
"11","3","25","100","1","10","10","24","5","1","50","17280","0","1153.6019417475727","136.83495145631068","59.24271844660194","59.33980582524272","9.161630245513486","125.91666666666667","12","103"
"12","3","25","100","1","10","10","24","5","1","50","17280","0","1008.21","147.07","51.63","51.57","8.96624797406807","112.18181818181819","11","100"
"15","3","25","100","1","10","10","24","5","1","50","17279","1221.019801980198","1221.019801980198","151.58415841584159","62.40594059405941","62.40594059405941","10.565066271769327","115.57142857142857","7","101"
"14","3","25","100","1","10","10","24","5","1","50","17280","0","973.38","148.64","50.03","50.03","7.956784741144414","122.33333333333333","9","100"
"16","3","25","100","1","10","10","24","5","1","50","17280","0","1107.141414141414","144.73737373737373","56.73737373737374","56.45454545454545","10.148796296296297","109.0909090909091","11","99"
"17","3","25","100","1","10","10","24","5","1","50","17280","0","1049.2427184466019","142.92233009708738","53.310679611650485","53.310679611650485","8.865034869410636","118.33333333333333","12","103"
"18","3","25","100","1","10","10","24","5","1","50","17279","1148.6568627450981","1148.6568627450981","150.7156862745098","59.411764705882355","59.411764705882355","8.709276971108581","131.88888888888889","9","102"
